Modo,Instância,hms,par,OFV,Status
ajuste,b/instance_0001.txt,40,0.5,17.794117647058822,OK
ajuste,b/instance_0001.txt,40,0.7,17.794117647058822,OK
ajuste,b/instance_0001.txt,40,0.9,17.794117647058822,OK
ajuste,b/instance_0001.txt,50,0.1,17.794117647058822,OK
ajuste,b/instance_0001.txt,50,0.3,17.794117647058822,OK
ajuste,b/instance_0001.txt,50,0.5,17.794117647058822,OK
ajuste,b/instance_0001.txt,50,0.7,17.794117647058822,OK
ajuste,b/instance_0001.txt,50,0.9,17.794117647058822,OK
ajuste,b/instance_0003.txt,10,0.1,24.583333333333332,OK
ajuste,b/instance_0003.txt,10,0.3,24.583333333333332,OK
ajuste,b/instance_0003.txt,10,0.5,24.583333333333332,OK
ajuste,b/instance_0003.txt,10,0.7,24.583333333333332,OK
ajuste,b/instance_0003.txt,10,0.9,24.583333333333332,OK
ajuste,b/instance_0003.txt,20,0.1,24.583333333333332,OK
ajuste,b/instance_0003.txt,20,0.3,24.583333333333332,OK
ajuste,b/instance_0003.txt,20,0.5,24.583333333333332,OK
ajuste,b/instance_0003.txt,20,0.7,24.583333333333332,OK
ajuste,b/instance_0003.txt,20,0.9,24.583333333333332,OK
ajuste,b/instance_0003.txt,30,0.1,24.583333333333332,OK
ajuste,b/instance_0003.txt,30,0.3,24.583333333333332,OK
ajuste,b/instance_0003.txt,30,0.5,24.583333333333332,OK
ajuste,b/instance_0003.txt,30,0.7,24.583333333333332,OK
ajuste,b/instance_0003.txt,30,0.9,24.583333333333332,OK
ajuste,b/instance_0003.txt,40,0.1,24.583333333333332,OK
ajuste,b/instance_0003.txt,40,0.3,24.583333333333332,OK
ajuste,b/instance_0003.txt,40,0.5,24.583333333333332,OK
ajuste,b/instance_0003.txt,40,0.7,24.583333333333332,OK
ajuste,b/instance_0003.txt,40,0.9,24.583333333333332,OK
ajuste,b/instance_0003.txt,50,0.1,24.583333333333332,OK
ajuste,b/instance_0003.txt,50,0.3,24.583333333333332,OK
ajuste,b/instance_0003.txt,50,0.5,24.583333333333332,OK
ajuste,b/instance_0003.txt,50,0.7,24.583333333333332,OK
ajuste,b/instance_0003.txt,50,0.9,24.583333333333332,OK
ajuste,b/instance_0005.txt,10,0.1,19.98,OK
ajuste,b/instance_0005.txt,10,0.3,19.98,OK
ajuste,b/instance_0005.txt,10,0.5,19.98,OK
ajuste,b/instance_0005.txt,10,0.7,19.98,OK
ajuste,b/instance_0005.txt,10,0.9,19.98,OK
ajuste,b/instance_0005.txt,20,0.1,19.98,OK
ajuste,b/instance_0005.txt,20,0.3,19.98,OK
ajuste,b/instance_0005.txt,20,0.5,19.98,OK
ajuste,b/instance_0005.txt,20,0.7,19.98,OK
ajuste,b/instance_0005.txt,20,0.9,19.98,OK
ajuste,b/instance_0005.txt,30,0.1,19.98,OK
ajuste,b/instance_0005.txt,30,0.3,19.98,OK
ajuste,b/instance_0005.txt,30,0.5,19.98,OK
ajuste,b/instance_0005.txt,30,0.7,19.98,OK
ajuste,b/instance_0005.txt,30,0.9,19.98,OK
ajuste,b/instance_0005.txt,40,0.1,19.98,OK
ajuste,b/instance_0005.txt,40,0.3,19.98,OK
ajuste,b/instance_0005.txt,40,0.5,19.98,OK
